"method","mse","loading_error","false_positive_rate","false_negative_rate","mean_factor_score_cor","used_alpha","rotation_method","n","p","m","alpha","gamma","sigma_sq","rep","lambda","error_message"
"EFA (quartimin)",5.0887718191249,13.9928336799751,0.661363636363636,0.025,0.324682695719565,NA,"quartimin",500,200,3,0.8,0,5,1,NA,NA
"EFA (quartimax)",5.0887718191249,9.39866302563969,0.518181818181818,0,0.303879703473143,NA,"quartimax",500,200,3,0.8,0,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,3,0.8,0,5,1,0.1,NA
"PCA",6.91767353848754,4.92042439597237,0.671428571428571,0.3,-0.143488998278851,NA,NA,100,50,5,0.8,0,5,1,NA,NA
"Sparse PCA (Fixed)",3.80010709838752,4.92039330774489,0.70952380952381,0,-0.237057841615377,1e-17,NA,100,50,5,0.8,0,5,1,NA,NA
"EFA (varimax)",4.55951318118724,4.4382036695057,0.79047619047619,0.2,0.130338702566475,NA,"varimax",100,50,5,0.8,0,5,1,NA,NA
"EFA (oblimin)",4.55951318118724,4.74766265094527,0.738095238095238,0.175,0.142277260334088,NA,"oblimin",100,50,5,0.8,0,5,1,NA,NA
"EFA (quartimin)",4.55951318118724,4.74766265094527,0.738095238095238,0.175,0.142277260334088,NA,"quartimin",100,50,5,0.8,0,5,1,NA,NA
"EFA (quartimax)",4.55951318118724,4.4382036695057,0.738095238095238,0.1,0.155418409526425,NA,"quartimax",100,50,5,0.8,0,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,5,0.8,0,5,1,0.1,NA
"PCA",6.93816286550124,4.9195307095851,0.638095238095238,0.375,-0.150502069492993,NA,NA,500,50,5,0.8,0,5,1,NA,NA
"Sparse PCA (Fixed)",4.18065002903775,4.91949508418667,0.7,0,-0.169644298450802,1e-17,NA,500,50,5,0.8,0,5,1,NA,NA
"EFA (varimax)",4.83398324086854,3.84281748904698,0.6,0,0.147140798282742,NA,"varimax",500,50,5,0.8,0,5,1,NA,NA
"EFA (oblimin)",4.83398324086854,4.4698056451383,0.619047619047619,0.125,0.168649896357124,NA,"oblimin",500,50,5,0.8,0,5,1,NA,NA
"EFA (quartimin)",4.83398324086854,4.4698056451383,0.619047619047619,0.125,0.168649896357124,NA,"quartimin",500,50,5,0.8,0,5,1,NA,NA
"EFA (quartimax)",4.83398324086854,3.84281748904698,0.604761904761905,0,0.160330819563998,NA,"quartimax",500,50,5,0.8,0,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,5,0.8,0,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.8,0,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.8,0,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.8,0,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,5,0.8,0,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,5,0.8,0,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,5,0.8,0,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.8,0,5,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",6.14726150556341,10.0432772205355,0.552380952380952,0.3375,0.138960054219181,NA,NA,500,100,5,0.8,0,5,1,NA,NA
"Sparse PCA (Fixed)",4.53602370436743,10.0431963489771,0.554761904761905,0,0.166785801233327,1e-17,NA,500,100,5,0.8,0,5,1,NA,NA
"EFA (varimax)",4.99874043929453,6.88124936808275,0.561904761904762,0,0.187479443980363,NA,"varimax",500,100,5,0.8,0,5,1,NA,NA
"EFA (oblimin)",4.99874043929453,9.04747969410407,0.704761904761905,0.25,0.157940106847648,NA,"oblimin",500,100,5,0.8,0,5,1,NA,NA
"EFA (quartimin)",4.99874043929453,9.04747969410407,0.704761904761905,0.25,0.157940106847648,NA,"quartimin",500,100,5,0.8,0,5,1,NA,NA
"EFA (quartimax)",4.99874043929453,6.88124936808275,0.55,0,0.191535991603065,NA,"quartimax",500,100,5,0.8,0,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,5,0.8,0,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.8,0,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.8,0,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.8,0,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,5,0.8,0,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,5,0.8,0,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,5,0.8,0,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.8,0,5,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",6.57898842174767,20.2204186123663,0.452380952380952,0.5,-0.157666673845391,NA,NA,500,200,5,0.8,0,5,1,NA,NA
"Sparse PCA (Fixed)",4.72323118418038,20.2202441385076,0.466666666666667,0.00625,-0.198729639352893,1e-17,NA,500,200,5,0.8,0,5,1,NA,NA
"EFA (varimax)",5.0673526044851,12.742959657132,0.614285714285714,0,0.191409677638653,NA,"varimax",500,200,5,0.8,0,5,1,NA,NA
"EFA (oblimin)",5.0673526044851,18.0610440193333,0.670238095238095,0.21875,0.187058301725594,NA,"oblimin",500,200,5,0.8,0,5,1,NA,NA
"EFA (quartimin)",5.0673526044851,18.0610440193333,0.670238095238095,0.21875,0.187058301725594,NA,"quartimin",500,200,5,0.8,0,5,1,NA,NA
"EFA (quartimax)",5.0673526044851,12.742959657132,0.546428571428571,0,0.176703869781498,NA,"quartimax",500,200,5,0.8,0,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,5,0.8,0,5,1,0.1,NA
"PCA",5.04011969124697,5.24053275080313,0.575,0.345454545454545,-0.376339295451086,NA,NA,100,50,3,0.2,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.18012112391602,5.24052207958667,0.625,0.309090909090909,-0.384948788853021,1e-17,NA,100,50,3,0.2,1,5,1,NA,NA
"EFA (varimax)",4.60121606307414,5.27753948326392,0.6,0.327272727272727,0.348274341305152,NA,"varimax",100,50,3,0.2,1,5,1,NA,NA
"EFA (oblimin)",4.60121606307414,5.29345982816998,0.6,0.345454545454545,0.360906503149092,NA,"oblimin",100,50,3,0.2,1,5,1,NA,NA
"EFA (quartimin)",4.60121606307414,5.29345982816998,0.6,0.345454545454545,0.360906503149092,NA,"quartimin",100,50,3,0.2,1,5,1,NA,NA
"EFA (quartimax)",4.60121606307414,5.27753948326392,0.6,0.318181818181818,0.352563430972545,NA,"quartimax",100,50,3,0.2,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,3,0.2,1,5,1,0.1,NA
"PCA",5.01186802152249,3.20533679353098,0.575,0.263636363636364,0.0702802231181719,NA,NA,500,50,3,0.2,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.51664713469941,3.20529087903553,0.55,0.172727272727273,0.0567679998932355,1e-17,NA,500,50,3,0.2,1,5,1,NA,NA
"EFA (varimax)",4.88137841282852,2.9690635428415,0.45,0.190909090909091,0.452821517746686,NA,"varimax",500,50,3,0.2,1,5,1,NA,NA
"EFA (oblimin)",4.88137841282852,2.89607114478406,0.425,0.209090909090909,0.490170045348433,NA,"oblimin",500,50,3,0.2,1,5,1,NA,NA
"EFA (quartimin)",4.88137841282852,2.89607114478406,0.425,0.209090909090909,0.490170045348433,NA,"quartimin",500,50,3,0.2,1,5,1,NA,NA
"EFA (quartimax)",4.88137841282852,2.9690635428415,0.45,0.2,0.485916451024783,NA,"quartimax",500,50,3,0.2,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,3,0.2,1,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,3,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,3,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,3,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.2,1,5,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",5.45586950089681,7.16514004083877,0.575,0.431818181818182,0.378212090847345,NA,NA,500,100,3,0.2,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.77127704099348,7.16498970779286,0.45,0.345454545454545,0.530285239420552,1e-17,NA,500,100,3,0.2,1,5,1,NA,NA
"EFA (varimax)",5.01861763911302,5.26667067066833,0.5625,0.313636363636364,0.477733236745539,NA,"varimax",500,100,3,0.2,1,5,1,NA,NA
"EFA (oblimin)",5.01861763911302,5.2193548674845,0.5125,0.281818181818182,0.51569066714807,NA,"oblimin",500,100,3,0.2,1,5,1,NA,NA
"EFA (quartimin)",5.01861763911302,5.2193548674845,0.5125,0.281818181818182,0.51569066714807,NA,"quartimin",500,100,3,0.2,1,5,1,NA,NA
"EFA (quartimax)",5.01861763911302,5.26667067066833,0.5,0.259090909090909,0.517533005370148,NA,"quartimax",500,100,3,0.2,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,3,0.2,1,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,3,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,3,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,3,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.2,1,5,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",5.31257734950234,12.9412596815995,0.325,0.538636363636364,0.441443046661141,NA,NA,500,200,3,0.2,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.8644859551818,12.9409354974879,0.46875,0.5,0.542466365280662,1e-17,NA,500,200,3,0.2,1,5,1,NA,NA
"EFA (varimax)",5.04190224297177,8.83983170860845,0.49375,0.225,0.604252862440498,NA,"varimax",500,200,3,0.2,1,5,1,NA,NA
"EFA (oblimin)",5.04190224297177,8.75765738656621,0.4375,0.227272727272727,0.617840849849162,NA,"oblimin",500,200,3,0.2,1,5,1,NA,NA
"EFA (quartimin)",5.04190224297177,8.75765738656621,0.4375,0.227272727272727,0.617840849849162,NA,"quartimin",500,200,3,0.2,1,5,1,NA,NA
"EFA (quartimax)",5.04190224297177,8.83983170860846,0.39375,0.2,0.6046092793336,NA,"quartimax",500,200,3,0.2,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,3,0.2,1,5,1,0.1,NA
"PCA",7.4882036862872,5.93953006242954,0.575,0.294117647058824,-0.0992862527811168,NA,NA,100,50,5,0.2,1,5,1,NA,NA
"Sparse PCA (Fixed)",3.82229974167574,5.93949486234281,0.625,0.241176470588235,-0.174001279546759,1e-17,NA,100,50,5,0.2,1,5,1,NA,NA
"EFA (varimax)",4.50227750061799,5.6130320653415,0.775,0.311764705882353,0.107936007599428,NA,"varimax",100,50,5,0.2,1,5,1,NA,NA
"EFA (oblimin)",4.50227750061799,5.73972688794787,0.65,0.247058823529412,0.258999084393405,NA,"oblimin",100,50,5,0.2,1,5,1,NA,NA
"EFA (quartimin)",4.50227750061799,5.73972688794787,0.65,0.247058823529412,0.258999084393405,NA,"quartimin",100,50,5,0.2,1,5,1,NA,NA
"EFA (quartimax)",4.50227750061799,5.6130320653415,0.7125,0.223529411764706,0.254122508686219,NA,"quartimax",100,50,5,0.2,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,5,0.2,1,5,1,0.1,NA
"PCA",5.47275156840641,4.35105785431718,0.6,0.364705882352941,0.01575906878654,NA,NA,500,50,5,0.2,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.25952198809984,4.35102549178623,0.6875,0.276470588235294,0.0463909003593412,1e-17,NA,500,50,5,0.2,1,5,1,NA,NA
"EFA (varimax)",4.84404843826091,3.91742824760856,0.525,0.317647058823529,0.326391782689862,NA,"varimax",500,50,5,0.2,1,5,1,NA,NA
"EFA (oblimin)",4.84404843826091,4.06620508182278,0.5125,0.317647058823529,0.31898437853717,NA,"oblimin",500,50,5,0.2,1,5,1,NA,NA
"EFA (quartimin)",4.84404843826091,4.06620508182278,0.5125,0.317647058823529,0.31898437853717,NA,"quartimin",500,50,5,0.2,1,5,1,NA,NA
"EFA (quartimax)",4.84404843826091,3.91742824760856,0.525,0.270588235294118,0.310771869385834,NA,"quartimax",500,50,5,0.2,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,5,0.2,1,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,5,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,5,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,5,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.2,1,5,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",5.81061806557013,9.53498411968692,0.575,0.444117647058824,-0.16911057364775,NA,NA,500,100,5,0.2,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.57705439270139,9.53489737807117,0.60625,0.344117647058824,-0.259171420901176,1e-17,NA,500,100,5,0.2,1,5,1,NA,NA
"EFA (varimax)",4.93397269658621,8.02487885898877,0.58125,0.344117647058824,0.310225537525168,NA,"varimax",500,100,5,0.2,1,5,1,NA,NA
"EFA (oblimin)",4.93397269658621,8.42117277289727,0.625,0.373529411764706,0.253906767679065,NA,"oblimin",500,100,5,0.2,1,5,1,NA,NA
"EFA (quartimin)",4.93397269658621,8.42117277289727,0.625,0.373529411764706,0.253906767679065,NA,"quartimin",500,100,5,0.2,1,5,1,NA,NA
"EFA (quartimax)",4.93397269658621,8.02487885898876,0.6,0.335294117647059,0.297308477916053,NA,"quartimax",500,100,5,0.2,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,5,0.2,1,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,5,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,5,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,5,0.2,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.2,1,5,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",5.3736011923941,17.3604352863432,0.378125,0.564705882352941,0.248963141347461,NA,NA,500,200,5,0.2,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.74570959148233,17.3601983545334,0.425,0.495588235294118,0.425447766109965,1e-17,NA,500,200,5,0.2,1,5,1,NA,NA
"EFA (varimax)",4.98025605568399,13.5766726300858,0.50625,0.319117647058824,0.432123172047578,NA,"varimax",500,200,5,0.2,1,5,1,NA,NA
"EFA (oblimin)",4.98025605568399,13.6950665385749,0.521875,0.347058823529412,0.43829191944642,NA,"oblimin",500,200,5,0.2,1,5,1,NA,NA
"EFA (quartimin)",4.98025605568399,13.6950665385749,0.521875,0.347058823529412,0.43829191944642,NA,"quartimin",500,200,5,0.2,1,5,1,NA,NA
"EFA (quartimax)",4.98025605568399,13.5766726300858,0.46875,0.330882352941176,0.441211208830423,NA,"quartimax",500,200,5,0.2,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,5,0.2,1,5,1,0.1,NA
"PCA",5.21036009705425,8.2828435371354,0.72,0.18,0.505821819137262,NA,NA,100,50,3,0.5,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.32570842004901,8.28269591531338,0.6,0.14,0.512122134403744,1e-17,NA,100,50,3,0.5,1,5,1,NA,NA
"EFA (varimax)",4.84101471605697,6.4777586753255,0.66,0.12,0.185048552850362,NA,"varimax",100,50,3,0.5,1,5,1,NA,NA
"EFA (oblimin)",4.84101471605697,6.51193371258067,0.69,0.18,0.229719065422002,NA,"oblimin",100,50,3,0.5,1,5,1,NA,NA
"EFA (quartimin)",4.84101471605697,6.51193371258067,0.69,0.18,0.229719065422002,NA,"quartimin",100,50,3,0.5,1,5,1,NA,NA
"EFA (quartimax)",4.84101471605697,6.4777586753255,0.71,0.18,0.407777039852778,NA,"quartimax",100,50,3,0.5,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,3,0.5,1,5,1,0.1,NA
"PCA",5.22145004101885,6.46897372451309,0.59,0.02,-0.0583218086274001,NA,NA,500,50,3,0.5,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.57242775557626,6.46874010028739,0.53,0,-0.024409469055391,1e-17,NA,500,50,3,0.5,1,5,1,NA,NA
"EFA (varimax)",5.03084267076308,3.32001931944828,0.49,0,0.541043832673341,NA,"varimax",500,50,3,0.5,1,5,1,NA,NA
"EFA (oblimin)",5.03084267076308,4.96607696270325,0.52,0.04,0.557285817355471,NA,"oblimin",500,50,3,0.5,1,5,1,NA,NA
"EFA (quartimin)",5.03084267076308,4.96607696270325,0.52,0.04,0.557285817355471,NA,"quartimin",500,50,3,0.5,1,5,1,NA,NA
"EFA (quartimax)",5.03084267076308,3.32001931944828,0.51,0,0.556940912994499,NA,"quartimax",500,50,3,0.5,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,3,0.5,1,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,3,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,3,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,3,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.5,1,5,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",5.3020829457997,12.9077394026162,0.4,0.05,0.00745018130294574,NA,NA,500,100,3,0.5,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.75679729601348,12.9072254118607,0.345,0,0.0130705249332371,1e-17,NA,500,100,3,0.5,1,5,1,NA,NA
"EFA (varimax)",5.06556274523201,6.16947673331107,0.42,0,0.5907241325948,NA,"varimax",500,100,3,0.5,1,5,1,NA,NA
"EFA (oblimin)",5.06556274523201,6.01866224441226,0.44,0,0.591924060267391,NA,"oblimin",500,100,3,0.5,1,5,1,NA,NA
"EFA (quartimin)",5.06556274523201,6.01866224441226,0.44,0,0.591924060267391,NA,"quartimin",500,100,3,0.5,1,5,1,NA,NA
"EFA (quartimax)",5.06556274523201,6.16947673331108,0.42,0,0.591448352602622,NA,"quartimax",500,100,3,0.5,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,3,0.5,1,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,3,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,3,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,3,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.5,1,5,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",5.21131419688177,25.8081978057379,0.2425,0.105,0.00072075627498449,NA,NA,500,200,3,0.5,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.85012687421138,25.8068825912316,0.2125,0,0.0209184356632174,1e-17,NA,500,200,3,0.5,1,5,1,NA,NA
"EFA (varimax)",5.08291468099478,10.2363632338538,0.4125,0,0.621387187610519,NA,"varimax",500,200,3,0.5,1,5,1,NA,NA
"EFA (oblimin)",5.08291468099478,10.6070996394482,0.41,0,0.620596222131649,NA,"oblimin",500,200,3,0.5,1,5,1,NA,NA
"EFA (quartimin)",5.08291468099478,10.6070996394482,0.41,0,0.620596222131649,NA,"quartimin",500,200,3,0.5,1,5,1,NA,NA
"EFA (quartimax)",5.08291468099478,10.2363632338537,0.4175,0,0.633899952505663,NA,"quartimax",500,200,3,0.5,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,3,0.5,1,5,1,0.1,NA
"PCA",7.07077084417418,9.88524504270755,0.635,0.24,0.121702376712456,NA,NA,100,50,5,0.5,1,5,1,NA,NA
"Sparse PCA (Fixed)",3.96756378588228,9.88510580150099,0.715,0.08,0.268158421006446,1e-17,NA,100,50,5,0.5,1,5,1,NA,NA
"EFA (varimax)",4.74162093337807,8.48921824418279,0.73,0,0.271007230904969,NA,"varimax",100,50,5,0.5,1,5,1,NA,NA
"EFA (oblimin)",4.74162093337807,9.08747742113464,0.69,0.18,0.0826424697413434,NA,"oblimin",100,50,5,0.5,1,5,1,NA,NA
"EFA (quartimin)",4.74162093337807,9.08747742113464,0.69,0.18,0.0826424697413434,NA,"quartimin",100,50,5,0.5,1,5,1,NA,NA
"EFA (quartimax)",4.74162093337807,8.48921824418279,0.7,0.14,0.0697109122435298,NA,"quartimax",100,50,5,0.5,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,5,0.5,1,5,1,0.1,NA
"PCA",6.23526631454705,9.02875286267994,0.595,0.1,0.292878993821526,NA,NA,500,50,5,0.5,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.25397712247258,9.02857781222878,0.555,0,0.32909519115335,1e-17,NA,500,50,5,0.5,1,5,1,NA,NA
"EFA (varimax)",4.89726035283501,6.00005401840414,0.51,0.02,0.296472267514282,NA,"varimax",500,50,5,0.5,1,5,1,NA,NA
"EFA (oblimin)",4.89726035283501,7.35146317031979,0.615,0.08,0.284341105615254,NA,"oblimin",500,50,5,0.5,1,5,1,NA,NA
"EFA (quartimin)",4.89726035283501,7.35146317031979,0.615,0.08,0.284341105615254,NA,"quartimin",500,50,5,0.5,1,5,1,NA,NA
"EFA (quartimax)",4.89726035283501,6.00005401840414,0.575,0.02,0.289625339458137,NA,"quartimax",500,50,5,0.5,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,5,0.5,1,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,5,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,5,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,5,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.5,1,5,1,0.1,"arguments imply differing number of rows: 1, 0"
