"method","mse","loading_error","false_positive_rate","false_negative_rate","mean_factor_score_cor","used_alpha","rotation_method","n","p","m","alpha","gamma","sigma_sq","rep","lambda","error_message"
"EFA (quartimin)",0.111591759409085,0.587397047647364,0.3775,1,0.0113330278763465,NA,"quartimin",500,100,5,0.5,0,0.1,1,NA,NA
"EFA (quartimax)",0.111591759409085,0.60605482189257,0.3775,0.91,0.000847903889510346,NA,"quartimax",500,100,5,0.5,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,5,0.5,0,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,5,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,5,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,5,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.5,0,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",1.04367142068423,48.3750151653131,0.38125,0.21,0.324930511161939,NA,NA,500,200,5,0.5,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0941058660330667,48.3729441943048,0.35875,0,0.359942989804704,1e-17,NA,500,200,5,0.5,0,0.1,1,NA,NA
"EFA (varimax)",0.110610992134987,0.970482889921456,0.17,0,0.375179373882707,NA,"varimax",500,200,5,0.5,0,0.1,1,NA,NA
"EFA (oblimin)",0.110610992134987,0.945058785348266,0.08875,0,0.382699426580415,NA,"oblimin",500,200,5,0.5,0,0.1,1,NA,NA
